Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9013,Biologia Marinha,Biologia Marinha,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9013&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9015,Bioquímica,Bioquímica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9015&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9016,Biotecnologia,Biotecnologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9016&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9494,Ciências Farmacêuticas,Ciências Farmacêuticas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9494&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9119,Engenharia Informática,Engenharia Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9119&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,L123,Gestão Marinha e Costeira,Gestão Marinha e Costeira,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L123&code=0203
Público Universitário,0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9210,Matemática Aplicada à Economia e à Gestão,Matemática Aplicada à Economia e à Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9210&code=0203
Público Universitário,0204,Universidade do Algarve - Faculdade de Economia,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0204
Público Universitário,0204,Universidade do Algarve - Faculdade de Economia,9152,Gestão de Empresas,Gestão de Empresas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9152&code=0204
Público Universitário,0204,Universidade do Algarve - Faculdade de Economia,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=0204
Público Universitário,0206,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,9351,Ciências Biomédicas,Ciências Biomédicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9351&code=0206
Público Universitário,0300,Universidade de Aveiro,9002,Administração Pública,Administração Pública,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9002&code=0300
Público Universitário,0300,Universidade de Aveiro,9011,Biologia,Biologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9011&code=0300
Público Universitário,0300,Universidade de Aveiro,9012,Biologia e Geologia,Biologia e Geologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9012&code=0300
Público Universitário,0300,Universidade de Aveiro,9015,Bioquímica,Bioquímica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9015&code=0300
Público Universitário,0300,Universidade de Aveiro,9016,Biotecnologia,Biotecnologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9016&code=0300
Público Universitário,0300,Universidade de Aveiro,9351,Ciências Biomédicas,Ciências Biomédicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9351&code=0300
