Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe,Provas_ingresso,Ano_nota,Nota_1fase,Nota_2fase
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9652,Comunicação e Relações Públicas,Comunicação e Relações Públicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9652&code=0150,"{'Uma das seguintes provas': ['Economia', 'História', 'Português']}",2023,"123,5","124,6"
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9853,Educação Básica,Educação Básica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9853&code=0150,"{'As seguintes provas': ['Mat. Apl. Ciências Soc.', 'Português']}",2023,"115,1",
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9135,Estudos Europeus,Estudos Europeus,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9135&code=0150,"{'Uma das seguintes provas': ['Filosofia', 'História', 'Português']}",2023,"119,7","141,3"
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,L041,Estudos Portugueses e Ingleses,Estudos Portugueses e Ingleses,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L041&code=0150,"{'Uma das seguintes provas': ['Inglês', 'Literatura Portuguesa', 'Português']}",2023,"144,7",
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9181,História,História,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9181&code=0150,"{'Uma das seguintes provas': ['Filosofia', 'História', 'Português']}",2023,"142,2","141,5"
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=0150,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Mat. Apl. Ciências Soc.', 'Português']}",2023,"155,6","157,9"
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9238,Serviço Social,Serviço Social,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9238&code=0150,"{'Uma das seguintes provas': ['Economia', 'História', 'Português']}",2023,"128,1","156,4"
Público Universitário,150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=0150,"{'Uma das seguintes provas': ['Economia', 'História', 'Português']}",2023,"108,4","128,0"
Público Universitário,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,9011,Biologia,Biologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9011&code=0160,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",2023,"121,9","125,3"
Público Universitário,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,8083,Ciclo Básico de Medicina,Ciclo Básico de Medicina,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8083&code=0160,"{'As seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática A']}",2023,"177,0","184,7"
Público Universitário,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,8571,Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),Ciênc de Engenharia-Eng Mecânica; Eng Eletrotécnica e de Computadores (Pre),https://www.dges.gov.pt/guias/detcursopi.asp?codc=8571&code=0160,"{'As seguintes provas': ['Física e Química', 'Matemática A']}",2023,"153,3",
Público Universitário,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,9041,Ciências do Mar,Ciências do Mar,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9041&code=0160,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",,,
Público Universitário,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,9185,Informática,Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9185&code=0160,{'As seguintes provas': ['Matemática']},2023,"119,9","137,7"
Público Universitário,160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,8524,Proteção Civil e Gestão de Riscos,Proteção Civil e Gestão de Riscos,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8524&code=0160,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Geografia', 'Matemática']}",2023,"121,4","115,0"
Público Universitário,170,Universidade dos Açores - Faculdade de Economia e Gestão,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0170,"{'Um dos seguintes conjuntos': [['Matemática'], ['Economia', 'Matemática']]}",2023,"121,9","114,7"
Público Universitário,170,Universidade dos Açores - Faculdade de Economia e Gestão,9147,Gestão,Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9147&code=0170,"{'Uma das seguintes provas': ['Economia', 'Matemática']}",2023,"99,0","108,1"
Público Universitário,170,Universidade dos Açores - Faculdade de Economia e Gestão,9254,Turismo,Turismo,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9254&code=0170,"{'Uma das seguintes provas': ['Economia', 'História', 'Português']}",2023,"129,3",
Público Universitário,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9817,Artes Visuais,Artes Visuais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9817&code=0201,"{'Uma das seguintes provas': ['Desenho', 'Geometria Descritiva', 'Hist. da Cultura e Artes']}",2023,"129,1","138,3"
Público Universitário,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9821,Ciências da Educação e da Formação,Ciências da Educação e da Formação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9821&code=0201,"{'Uma das seguintes provas': ['Filosofia', 'Geografia', 'História', 'Português']}",2023,"138,5","141,9"
Público Universitário,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,L252,Línguas e Comunicação Intercultural,Línguas e Comunicação Intercultural,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L252&code=0201,{'As seguintes provas': ['Português']},2023,"129,3","137,2"
Público Universitário,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9204,"Línguas, Literaturas e Culturas","Línguas, Literaturas e Culturas",https://www.dges.gov.pt/guias/detcursopi.asp?codc=9204&code=0201,{'As seguintes provas': ['Português']},2023,"137,6","156,6"
Público Universitário,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,8509,Património Cultural e Arqueologia,Património Cultural e Arqueologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8509&code=0201,"{'Uma das seguintes provas': ['Hist. da Cultura e Artes', 'História', 'Português']}",2023,"128,1","130,3"
Público Universitário,201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=0201,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Filosofia', 'Mat. Apl. Ciências Soc.', 'Português']}",2023,"161,9","161,6"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9003,Agronomia,Agronomia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9003&code=0203,{'As seguintes provas': ['Biologia e Geologia']},2023,"110,0","113,3"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,8258,Arquitetura Paisagista,Arquitetura Paisagista,https://www.dges.gov.pt/guias/detcursopi.asp?codc=8258&code=0203,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Desenho', 'Geografia']}",2023,"134,4","135,5"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9540,Bioengenharia,Bioengenharia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9540&code=0203,"{'Um dos seguintes conjuntos': [['Biologia e Geologia', 'Matemática A'], ['Física e Química', 'Matemática A']]}",2023,"132,5","146,7"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9011,Biologia,Biologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9011&code=0203,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química']}",2023,"132,6","132,5"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9013,Biologia Marinha,Biologia Marinha,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9013&code=0203,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática A']}",2023,"136,1","130,6"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9015,Bioquímica,Bioquímica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9015&code=0203,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química']}",2023,"128,6","127,4"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9016,Biotecnologia,Biotecnologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9016&code=0203,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática A']}",2023,"133,4","128,0"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9494,Ciências Farmacêuticas,Ciências Farmacêuticas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9494&code=0203,"{'Um dos seguintes conjuntos': [['Biologia e Geologia'], ['Biologia e Geologia', 'Física e Química']]}",2023,"136,0","135,8"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9119,Engenharia Informática,Engenharia Informática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9119&code=0203,{'As seguintes provas': ['Matemática A']},2023,"126,5","135,8"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,L123,Gestão Marinha e Costeira,Gestão Marinha e Costeira,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L123&code=0203,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Geografia', 'Matemática A']}",2023,"118,4","127,5"
Público Universitário,203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9210,Matemática Aplicada à Economia e à Gestão,Matemática Aplicada à Economia e à Gestão,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9210&code=0203,{'As seguintes provas': ['Matemática A']},2023,"122,5","120,4"
Público Universitário,204,Universidade do Algarve - Faculdade de Economia,9081,Economia,Economia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9081&code=0204,"{'Um dos seguintes conjuntos': [['Matemática'], ['Economia', 'Matemática'], ['Matemática', 'Português']]}",2023,"131,0","126,3"
Público Universitário,204,Universidade do Algarve - Faculdade de Economia,9152,Gestão de Empresas,Gestão de Empresas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9152&code=0204,"{'Uma das seguintes provas': ['Economia', 'Filosofia', 'Geografia', 'Mat. Apl. Ciências Soc.']}",2023,"145,6","145,1"
Público Universitário,204,Universidade do Algarve - Faculdade de Economia,9240,Sociologia,Sociologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9240&code=0204,"{'Uma das seguintes provas': ['Filosofia', 'Geografia', 'História', 'Português']}",2023,"135,8","143,9"
Público Universitário,206,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,9351,Ciências Biomédicas,Ciências Biomédicas,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9351&code=0206,"{'Duas das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",2023,"159,5","150,9"
Público Universitário,300,Universidade de Aveiro,9002,Administração Pública,Administração Pública,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9002&code=0300,"{'Uma das seguintes provas': ['Mat. Apl. Ciências Soc.', 'Matemática', 'Português']}",2023,"147,2","143,8"
Público Universitário,300,Universidade de Aveiro,9011,Biologia,Biologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9011&code=0300,"{'Uma das seguintes provas': ['Biologia e Geologia', 'Física e Química', 'Matemática']}",2023,"150,2","152,8"
Público Universitário,300,Universidade de Aveiro,9012,Biologia e Geologia,Biologia e Geologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9012&code=0300,"{'Um dos seguintes conjuntos': [['Biologia e Geologia'], ['Biologia e Geologia', 'Física e Química'], ['Biologia e Geologia', 'Matemática']]}",2023,"141,0","140,2"
